Time,Encoder1,Encoder2
20-07-2024 12:53:51.451,0,0
20-07-2024 12:53:51.472,0,0
20-07-2024 12:53:51.480,0,0
20-07-2024 12:53:51.491,0,0
20-07-2024 12:53:51.493,0,0
20-07-2024 12:53:51.498,0,0
20-07-2024 12:53:51.501,0,0
20-07-2024 12:53:51.504,0,0
20-07-2024 12:53:51.509,0,0
20-07-2024 12:53:51.513,0,0
20-07-2024 12:53:51.520,0,0
20-07-2024 12:53:51.525,0,0
20-07-2024 12:53:51.528,0,0
20-07-2024 12:53:51.532,0,0
20-07-2024 12:53:51.535,0,0
20-07-2024 12:53:51.538,0,0
20-07-2024 12:53:51.541,0,0
20-07-2024 12:53:51.545,0,0
20-07-2024 12:53:51.548,0,0
20-07-2024 12:53:51.551,0,0
20-07-2024 12:53:51.553,0,0
20-07-2024 12:53:51.556,0,0
20-07-2024 12:53:51.560,0,0
20-07-2024 12:53:51.562,0,0
20-07-2024 12:53:51.567,0,0
20-07-2024 12:53:51.570,0,0
20-07-2024 12:53:51.575,0,0
20-07-2024 12:53:51.576,0,0
20-07-2024 12:53:51.579,0,0
20-07-2024 12:53:51.583,0,0
20-07-2024 12:53:51.586,0,0
20-07-2024 12:53:51.588,0,0
20-07-2024 12:53:51.591,0,0
20-07-2024 12:53:51.592,0,0
20-07-2024 12:53:51.595,0,0
20-07-2024 12:53:51.599,0,0
20-07-2024 12:53:51.601,0,0
20-07-2024 12:53:51.603,0,0
20-07-2024 12:53:51.605,0,0
20-07-2024 12:53:51.610,0,0
20-07-2024 12:53:51.614,0,0
20-07-2024 12:53:51.619,0,0
20-07-2024 12:53:51.622,0,0
20-07-2024 12:53:51.624,0,0
20-07-2024 12:53:51.627,0,0
20-07-2024 12:53:51.629,0,0
20-07-2024 12:53:51.632,0,0
20-07-2024 12:53:51.635,0,0
20-07-2024 12:53:51.638,0,0
20-07-2024 12:53:51.640,0,0
20-07-2024 12:53:51.644,0,0
20-07-2024 12:53:51.647,0,0
20-07-2024 12:53:51.649,0,0
20-07-2024 12:53:51.651,0,0
20-07-2024 12:53:51.652,0,0
20-07-2024 12:53:51.653,0,0
20-07-2024 12:53:51.657,0,0
20-07-2024 12:53:51.659,0,0
20-07-2024 12:53:51.663,0,0
20-07-2024 12:53:51.665,0,0
20-07-2024 12:53:51.668,0,0
20-07-2024 12:53:51.672,0,0
20-07-2024 12:53:51.680,0,0
20-07-2024 12:53:51.684,0,0
20-07-2024 12:53:51.688,0,0
20-07-2024 12:53:51.691,0,0
20-07-2024 12:53:51.693,0,0
20-07-2024 12:53:51.696,0,0
20-07-2024 12:53:51.700,0,0
20-07-2024 12:53:51.702,0,0
20-07-2024 12:53:51.704,0,0
20-07-2024 12:53:51.706,0,0
20-07-2024 12:53:51.708,0,0
20-07-2024 12:53:51.710,0,0
20-07-2024 12:53:51.713,0,0
20-07-2024 12:53:51.716,0,0
20-07-2024 12:53:51.720,0,0
20-07-2024 12:53:51.723,0,0
20-07-2024 12:53:51.727,0,0
20-07-2024 12:53:51.730,0,0
20-07-2024 12:53:51.733,0,0
20-07-2024 12:53:51.736,0,0
20-07-2024 12:53:51.740,0,0
20-07-2024 12:53:51.745,0,0
20-07-2024 12:53:51.749,0,0
20-07-2024 12:53:51.752,0,0
20-07-2024 12:53:51.753,0,0
20-07-2024 12:53:51.756,0,0
20-07-2024 12:53:51.759,0,0
20-07-2024 12:53:51.765,0,0
20-07-2024 12:53:51.768,0,0
20-07-2024 12:53:51.770,0,0
20-07-2024 12:53:51.773,0,0
20-07-2024 12:53:51.778,0,0
20-07-2024 12:53:51.785,0,0
20-07-2024 12:53:51.790,0,0
20-07-2024 12:53:51.794,0,0
20-07-2024 12:53:51.801,0,0
20-07-2024 12:53:51.806,0,0
20-07-2024 12:53:51.810,0,0
20-07-2024 12:53:51.814,0,0
20-07-2024 12:53:51.820,0,0
20-07-2024 12:53:51.825,0,0
20-07-2024 12:53:51.829,0,0
20-07-2024 12:53:51.834,0,0
20-07-2024 12:53:51.839,0,0
20-07-2024 12:53:51.844,0,0
20-07-2024 12:53:51.848,0,0
20-07-2024 12:53:51.851,0,0
20-07-2024 12:53:51.854,0,0
20-07-2024 12:53:51.857,0,0
20-07-2024 12:53:51.863,0,0
20-07-2024 12:53:51.867,0,0
20-07-2024 12:53:51.869,0,0
20-07-2024 12:53:51.871,0,0
20-07-2024 12:53:51.875,0,0
20-07-2024 12:53:51.879,0,0
20-07-2024 12:53:51.881,0,0
20-07-2024 12:53:51.883,0,0
20-07-2024 12:53:51.885,0,0
20-07-2024 12:53:51.886,0,0
20-07-2024 12:53:51.890,0,0
20-07-2024 12:53:51.892,0,0
20-07-2024 12:53:51.895,0,0
20-07-2024 12:53:51.898,0,0
20-07-2024 12:53:51.900,0,0
20-07-2024 12:53:51.902,0,0
20-07-2024 12:53:51.905,0,0
20-07-2024 12:53:51.909,0,0
20-07-2024 12:53:51.911,0,0
20-07-2024 12:53:51.913,0,0
20-07-2024 12:53:51.917,0,0
20-07-2024 12:53:51.921,0,0
20-07-2024 12:53:51.925,0,0
20-07-2024 12:53:51.929,0,0
20-07-2024 12:53:51.932,0,0
20-07-2024 12:53:51.937,0,0
20-07-2024 12:53:51.940,0,0
20-07-2024 12:53:51.943,0,0
20-07-2024 12:53:51.948,0,0
20-07-2024 12:53:51.950,0,0
20-07-2024 12:53:51.952,0,0
20-07-2024 12:53:51.955,0,0
20-07-2024 12:53:51.958,0,0
20-07-2024 12:53:51.959,0,0
20-07-2024 12:53:51.962,0,0
20-07-2024 12:53:51.963,0,0
20-07-2024 12:53:51.965,0,0
20-07-2024 12:53:51.967,0,0
20-07-2024 12:53:51.969,0,0
20-07-2024 12:53:51.971,0,0
20-07-2024 12:53:51.972,0,0
20-07-2024 12:53:51.976,0,0
20-07-2024 12:53:51.978,0,0
20-07-2024 12:53:51.980,0,0
20-07-2024 12:53:51.984,0,0
20-07-2024 12:53:51.986,0,0
20-07-2024 12:53:51.989,0,0
20-07-2024 12:53:51.992,0,0
20-07-2024 12:53:51.994,0,0
20-07-2024 12:53:51.996,0,0
20-07-2024 12:53:52.000,0,0
20-07-2024 12:53:52.001,0,0
20-07-2024 12:53:52.004,0,0
20-07-2024 12:53:52.006,0,0
20-07-2024 12:53:52.007,0,0
20-07-2024 12:53:52.009,0,0
20-07-2024 12:53:52.010,0,0
20-07-2024 12:53:52.013,0,0
20-07-2024 12:53:52.015,0,0
20-07-2024 12:53:52.016,0,0
20-07-2024 12:53:52.020,0,0
20-07-2024 12:53:52.021,0,0
20-07-2024 12:53:52.023,0,0
20-07-2024 12:53:52.025,0,0
20-07-2024 12:53:52.026,0,0
20-07-2024 12:53:52.028,0,0
20-07-2024 12:53:52.029,0,0
20-07-2024 12:53:52.032,0,0
20-07-2024 12:53:52.034,0,0
20-07-2024 12:53:52.035,0,0
20-07-2024 12:53:52.038,0,0
20-07-2024 12:53:52.040,0,0
20-07-2024 12:53:52.043,0,0
20-07-2024 12:53:52.045,0,0
20-07-2024 12:53:52.049,0,0
20-07-2024 12:53:52.051,0,0
20-07-2024 12:53:52.052,0,0
20-07-2024 12:53:52.054,0,0
20-07-2024 12:53:52.056,0,0
20-07-2024 12:53:52.058,0,0
20-07-2024 12:53:52.060,0,0
20-07-2024 12:53:52.063,0,0
20-07-2024 12:53:52.066,0,0
20-07-2024 12:53:52.069,0,0
20-07-2024 12:53:52.072,0,0
20-07-2024 12:53:52.074,0,0
20-07-2024 12:53:52.076,0,0
20-07-2024 12:53:52.079,0,0
20-07-2024 12:53:52.082,0,0
20-07-2024 12:53:52.084,0,0
20-07-2024 12:53:52.086,0,0
20-07-2024 12:53:52.088,0,0
20-07-2024 12:53:52.094,0,0
20-07-2024 12:53:52.098,0,0
20-07-2024 12:53:52.101,0,0
20-07-2024 12:53:52.105,0,0
20-07-2024 12:53:52.108,0,0
20-07-2024 12:53:52.111,0,0
20-07-2024 12:53:52.115,0,0
20-07-2024 12:53:52.119,0,0
20-07-2024 12:53:52.121,0,0
20-07-2024 12:53:52.125,0,0
20-07-2024 12:53:52.128,0,0
20-07-2024 12:53:52.132,0,0
20-07-2024 12:53:52.134,0,0
20-07-2024 12:53:52.137,0,0
20-07-2024 12:53:52.141,0,0
20-07-2024 12:53:52.142,0,0
20-07-2024 12:53:52.146,0,0
20-07-2024 12:53:52.148,0,0
20-07-2024 12:53:52.152,0,0
20-07-2024 12:53:52.155,0,0
20-07-2024 12:53:52.158,0,0
20-07-2024 12:53:52.159,0,0
20-07-2024 12:53:52.161,0,0
20-07-2024 12:53:52.164,0,0
20-07-2024 12:53:52.166,0,0
20-07-2024 12:53:52.168,0,0
20-07-2024 12:53:52.170,0,0
20-07-2024 12:53:52.171,0,0
20-07-2024 12:53:52.173,0,0
20-07-2024 12:53:52.175,0,0
20-07-2024 12:53:52.177,0,0
20-07-2024 12:53:52.179,0,0
20-07-2024 12:53:52.181,0,0
20-07-2024 12:53:52.183,0,0
20-07-2024 12:53:52.185,0,0
20-07-2024 12:53:52.186,0,0
20-07-2024 12:53:52.188,0,0
20-07-2024 12:53:52.190,0,0
20-07-2024 12:53:52.192,0,0
20-07-2024 12:53:52.194,0,0
20-07-2024 12:53:52.196,0,0
20-07-2024 12:53:52.199,0,0
20-07-2024 12:53:52.201,0,0
20-07-2024 12:53:52.203,0,0
20-07-2024 12:53:52.206,0,0
20-07-2024 12:53:52.209,0,0
20-07-2024 12:53:52.211,0,0
20-07-2024 12:53:52.214,0,0
20-07-2024 12:53:52.216,0,0
20-07-2024 12:53:52.219,0,0
20-07-2024 12:53:52.222,0,0
20-07-2024 12:53:52.226,0,0
20-07-2024 12:53:52.230,0,0
20-07-2024 12:53:52.234,0,0
20-07-2024 12:53:52.238,0,0
20-07-2024 12:53:52.242,0,0
20-07-2024 12:53:52.246,0,0
20-07-2024 12:53:52.251,0,0
20-07-2024 12:53:52.255,0,0
20-07-2024 12:53:52.262,0,0
20-07-2024 12:53:52.267,0,0
20-07-2024 12:53:52.272,0,0
20-07-2024 12:53:52.278,0,0
20-07-2024 12:53:52.286,0,0
20-07-2024 12:53:52.290,0,0
20-07-2024 12:53:52.295,0,0
20-07-2024 12:53:52.299,0,0
20-07-2024 12:53:52.304,0,0
20-07-2024 12:53:52.309,0,0
20-07-2024 12:53:52.314,0,0
20-07-2024 12:53:52.320,0,0
20-07-2024 12:53:52.326,0,0
20-07-2024 12:53:52.332,0,0
20-07-2024 12:53:52.340,0,0
20-07-2024 12:53:52.345,0,0
20-07-2024 12:53:52.348,0,0
20-07-2024 12:53:52.355,0,0
20-07-2024 12:53:52.366,0,0
20-07-2024 12:53:52.371,0,0
20-07-2024 12:53:52.376,0,0
20-07-2024 12:53:52.383,0,0
20-07-2024 12:53:52.387,0,0
20-07-2024 12:53:52.392,0,0
20-07-2024 12:53:52.398,0,0
20-07-2024 12:53:52.403,0,0
20-07-2024 12:53:52.405,0,0
20-07-2024 12:53:52.409,0,0
20-07-2024 12:53:52.412,0,0
20-07-2024 12:53:52.414,0,0
20-07-2024 12:53:52.419,0,0
20-07-2024 12:53:52.423,0,0
20-07-2024 12:53:52.425,0,0
20-07-2024 12:53:52.429,0,0
20-07-2024 12:53:52.432,0,0
20-07-2024 12:53:52.435,0,0
20-07-2024 12:53:52.438,0,0
20-07-2024 12:53:52.441,0,0
20-07-2024 12:53:52.443,0,0
20-07-2024 12:53:52.445,0,0
20-07-2024 12:53:52.448,0,0
20-07-2024 12:53:52.451,0,0
20-07-2024 12:53:52.454,0,0
20-07-2024 12:53:52.456,0,0
20-07-2024 12:53:52.459,0,0
20-07-2024 12:53:52.463,0,0
20-07-2024 12:53:52.467,0,0
20-07-2024 12:53:52.470,0,0
20-07-2024 12:53:52.475,0,0
20-07-2024 12:53:52.480,0,0
20-07-2024 12:53:52.489,0,0
20-07-2024 12:53:52.492,0,0
20-07-2024 12:53:52.498,0,0
20-07-2024 12:53:52.502,0,0
20-07-2024 12:53:52.506,0,0
20-07-2024 12:53:52.509,0,0
20-07-2024 12:53:52.511,0,0
20-07-2024 12:53:52.514,0,0
20-07-2024 12:53:52.520,0,0
20-07-2024 12:53:52.525,0,0
20-07-2024 12:53:52.529,0,0
20-07-2024 12:53:52.533,0,0
20-07-2024 12:53:52.536,0,0
20-07-2024 12:53:52.538,0,0
20-07-2024 12:53:52.541,0,0
20-07-2024 12:53:52.542,0,0
20-07-2024 12:53:52.545,0,0
20-07-2024 12:53:52.546,0,0
20-07-2024 12:53:52.548,0,0
20-07-2024 12:53:52.551,0,0
20-07-2024 12:53:52.553,0,0
20-07-2024 12:53:52.556,0,0
20-07-2024 12:53:52.560,0,0
20-07-2024 12:53:52.562,0,0
20-07-2024 12:53:52.566,0,0
20-07-2024 12:53:52.569,0,0
20-07-2024 12:53:52.571,0,0
20-07-2024 12:53:52.574,0,0
20-07-2024 12:53:52.576,0,0
20-07-2024 12:53:52.579,0,0
20-07-2024 12:53:52.582,0,0
20-07-2024 12:53:52.584,0,0
20-07-2024 12:53:52.587,0,0
20-07-2024 12:53:52.590,0,0
20-07-2024 12:53:52.593,0,0
20-07-2024 12:53:52.595,0,0
20-07-2024 12:53:52.597,0,0
20-07-2024 12:53:52.600,0,0
20-07-2024 12:53:52.602,0,0
20-07-2024 12:53:52.605,0,0
20-07-2024 12:53:52.607,0,0
20-07-2024 12:53:52.609,0,0
20-07-2024 12:53:52.611,0,0
20-07-2024 12:53:52.614,0,0
20-07-2024 12:53:52.616,0,0
20-07-2024 12:53:52.618,0,0
20-07-2024 12:53:52.620,0,0
20-07-2024 12:53:52.622,0,0
20-07-2024 12:53:52.624,0,0
20-07-2024 12:53:52.627,0,0
20-07-2024 12:53:52.628,0,0
20-07-2024 12:53:52.630,0,0
20-07-2024 12:53:52.635,0,0
20-07-2024 12:53:52.638,0,0
20-07-2024 12:53:52.640,0,0
20-07-2024 12:53:52.643,0,0
20-07-2024 12:53:52.645,0,0
20-07-2024 12:53:52.648,0,0
20-07-2024 12:53:52.650,0,0
20-07-2024 12:53:52.653,0,0
20-07-2024 12:53:52.655,0,0
20-07-2024 12:53:52.658,0,0
20-07-2024 12:53:52.660,0,0
20-07-2024 12:53:52.662,0,0
20-07-2024 12:53:52.664,0,0
20-07-2024 12:53:52.667,0,0
20-07-2024 12:53:52.669,0,0
20-07-2024 12:53:52.671,0,0
20-07-2024 12:53:52.672,0,0
20-07-2024 12:53:52.674,0,0
20-07-2024 12:53:52.678,0,0
20-07-2024 12:53:52.680,0,0
20-07-2024 12:53:52.685,0,0
20-07-2024 12:53:52.687,0,0
20-07-2024 12:53:52.691,0,0
20-07-2024 12:53:52.696,0,0
20-07-2024 12:53:52.701,0,0
20-07-2024 12:53:52.706,0,0
20-07-2024 12:53:52.708,0,0
20-07-2024 12:53:52.712,0,0
20-07-2024 12:53:52.715,0,0
20-07-2024 12:53:52.718,0,0
20-07-2024 12:53:52.721,0,0
20-07-2024 12:53:52.724,0,0
20-07-2024 12:53:52.729,0,0
20-07-2024 12:53:52.730,0,0
20-07-2024 12:53:52.734,0,0
20-07-2024 12:53:52.736,0,0
20-07-2024 12:53:52.741,0,0
20-07-2024 12:53:52.743,0,0
20-07-2024 12:53:52.746,0,0
20-07-2024 12:53:52.750,0,0
20-07-2024 12:53:52.755,0,0
20-07-2024 12:53:52.762,0,0
20-07-2024 12:53:52.768,0,0
20-07-2024 12:53:52.772,0,0
20-07-2024 12:53:52.780,0,0
20-07-2024 12:53:52.785,0,0
20-07-2024 12:53:52.791,0,0
